"machine","location_type","num_vendex_nearby_300","train_AvgDailyPassengers","train_AvgWorkingDayPassengers","n_density_5km","income_average","total_number_of_routes_600","num_hotels","num_hotels_45","small_machine"
1292,"petrol station",1,NA,NA,809.126637554585,56292,13,0,0,1
1293,"others",0,NA,NA,323.805668016194,55186,10,0,0,1
1294,"transport",6,101400,112900,4229.37931034483,56368,455,14,7,0
1295,"transport",0,NA,NA,39.4630071599045,56094,41,1,0,0
1296,"petrol station",0,NA,NA,232.065359477124,59063,3,0,0,0
1297,"petrol station",3,NA,NA,15.399889685604,NA,10,2,0,0
1298,"transport",3,490,610,471.345108695652,63800,8,0,0,0
1299,"petrol station",0,NA,NA,355.246073298429,48909,3,0,0,0
1300,"others",0,NA,NA,787.533718689788,53835,14,0,0,0
1301,"transport",0,440,530,249.771084337349,45906,5,0,0,0
1302,"transport",0,1100,1200,166.220472440945,53853,5,0,0,0
1303,"petrol station",0,NA,NA,1785.35452322738,55209,12,1,1,0
1304,"petrol station",0,NA,NA,1693.6301369863,72381,13,0,0,1
1305,"petrol station",0,NA,NA,5320.52552552553,58274,55,3,0,1
1306,"others",0,NA,NA,273.368421052632,NA,32,0,0,1
1307,"petrol station",0,NA,NA,593.229329173167,101269,7,0,0,0
1308,"others",5,NA,NA,792.250879249707,53886,114,8,2,0
1309,"transport",0,NA,NA,14.7480106100796,37998,NA,0,0,1
1311,"transport",1,560,640,161.251664447403,50038,12,0,0,0
1312,"others",0,NA,NA,1724.33414043584,61851,33,0,0,0
1313,"transport",4,10600,11500,542.140845070423,48331,40,1,0,0
1314,"transport",0,NA,NA,548.128491620112,NA,28,1,0,1
1315,"others",0,NA,NA,660.697674418605,61233,9,0,0,1
1316,"transport",0,NA,NA,471.280487804878,55395,8,0,0,1
1317,"petrol station",0,NA,NA,3394.3287327478,60246,11,0,0,0
1318,"transport",1,1100,1300,440.78897338403,50467,24,0,0,0
1319,"transport",1,1100,1300,440.78897338403,50467,24,0,0,1
1320,"transport",0,4600,5500,435.328571428571,47529,55,1,0,0
1321,"petrol station",0,NA,NA,155.422535211268,42106,36,0,0,1
1322,"transport",1,490,560,324.635944700461,47028,6,0,0,0
1323,"petrol station",0,NA,NA,1134.58702064897,NA,4,0,0,1
1324,"petrol station",0,NA,NA,120.527974783294,61313,3,0,0,0
1325,"transport",0,370,440,194.018987341772,56094,8,0,0,0
1326,"petrol station",0,NA,NA,1915.39445628998,61851,26,1,0,1
1327,"transport",0,420,490,871.472602739726,143815,18,0,0,0
1328,"others",0,NA,NA,112.73276904474,42644,NA,0,0,0
1329,"petrol station",0,NA,NA,1465.17857142857,62441,4,0,0,0
1330,"transport",0,NA,NA,35.1447876447876,40137,NA,0,0,1
1331,"others",0,NA,NA,248.766122098022,46644,2,0,0,0
1332,"others",0,NA,NA,940.731132075472,51273,18,0,0,1
